,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO46394,15.79,15.79,26.32,2.63,28.95,10.53,Ovary-AdenoCA
DO28053,27.78,11.11,16.67,5.56,11.11,27.78,Ovary-AdenoCA
DO46424,7.27,12.73,30.91,9.09,23.64,16.36,Ovary-AdenoCA
DO46493,16.28,11.63,23.26,4.65,30.23,13.95,Ovary-AdenoCA
DO46593,5.56,5.56,66.67,0.0,22.22,0.0,Ovary-AdenoCA
DO46586,6.25,12.5,31.25,6.25,37.5,6.25,Ovary-AdenoCA
DO46328,5.56,11.11,0.0,0.0,61.11,22.22,Ovary-AdenoCA
DO46330,2.33,6.98,27.91,6.98,27.91,27.91,Ovary-AdenoCA
DO46336,6.25,6.25,12.5,6.25,25.0,43.75,Ovary-AdenoCA
DO46366,9.09,27.27,0.0,18.18,27.27,18.18,Ovary-AdenoCA
DO28412,11.11,0.0,33.33,0.0,33.33,22.22,Ovary-AdenoCA
DO46340,8.33,16.67,16.67,25.0,25.0,8.33,Ovary-AdenoCA
DO46329,0.0,8.7,30.43,4.35,34.78,21.74,Ovary-AdenoCA
DO46571,8.33,12.5,12.5,8.33,29.17,29.17,Ovary-AdenoCA
DO46448,23.53,11.76,29.41,0.0,35.29,0.0,Ovary-AdenoCA
DO46611,7.41,14.81,25.93,7.41,25.93,18.52,Ovary-AdenoCA
DO46325,9.52,4.76,23.81,4.76,42.86,14.29,Ovary-AdenoCA
DO46503,3.7,18.52,29.63,3.7,18.52,25.93,Ovary-AdenoCA
