gene	expr	reptime	hic
EPHA5	57073.0	706.0	-19.0
EPHA6	89830.0	1046.0	-18.0
EPHA7	18346.0	1054.0	-25.0
EPHA8	407931.0	541.0	25.0
EPHB1	74866.0	856.0	9.0
EPHB2	568787.0	464.0	29.0
EPHB3	1325702.0	411.0	47.0
EPHB4	1339207.0	433.0	48.0
EPHB6	284406.0	645.0	18.0
EPHX1	925960.0	168.0	8.0
EPHX2	336774.0	361.0	36.0
EPHX3	557083.0	381.0	20.0
EPHX4	260329.0	242.0	1.0
EPM2A	76860.0	748.0	-3.0
EPM2AIP1	392784.0	473.0	21.0
EPN1	1050871.0	254.0	-11.0
EPN2	658567.0	227.0	6.0
EPN3	1532661.0	200.0	20.0
EPO	1483965.0	336.0	46.0
EPOR	1385739.0	197.0	31.0
EPPK1	2376841.0	247.0	22.0
EPRS	630371.0	608.0	-8.0
EPS15	568927.0	251.0	11.0
EPS15L1	793775.0	258.0	19.0
EPS8	259826.0	496.0	11.0
EPS8L1	1125216.0	432.0	-26.0
EPS8L2	1788356.0	193.0	48.0
EPS8L3	933010.0	190.0	27.0
EPSTI1	109052.0	417.0	33.0
EPT1	698050.0	346.0	36.0
EPX	851306.0	401.0	14.0
EPYC	20238.0	574.0	-33.0
ERAL1	1693126.0	177.0	31.0
ERAP1	394409.0	345.0	36.0
ERAP2	393863.0	469.0	58.0
ERAS	823539.0		29.0
ERBB2	1284992.0	226.0	38.0
ERBB2IP	400865.0	189.0	32.0
ERBB3	2693176.0	215.0	38.0
ERBB4	20702.0	1173.0	-5.0
ERC1	516677.0	470.0	25.0
ERC2	121781.0	694.0	17.0
ERCC1	1259254.0	191.0	39.0
ERCC2	1280459.0	215.0	23.0
ERCC3	428616.0	175.0	23.0
ERCC4	125854.0	251.0	11.0
ERCC5	196444.0	475.0	33.0
ERCC6			
ERCC6L			
ERCC8	199321.0	599.0	6.0
EREG	174005.0	402.0	7.0
ERF	790787.0	299.0	37.0
ERG	162262.0	418.0	4.0
ERGIC1	502164.0	179.0	47.0
ERGIC2	100875.0	599.0	-3.0
ERGIC3	1515751.0	169.0	58.0
ERH	911402.0	431.0	39.0
ERI1	147910.0	440.0	44.0
ERI2	211686.0	580.0	23.0
ERI3	758083.0	308.0	29.0
ERICH1	106263.0	889.0	-34.0
ERLEC1			
ERLIN1	1070291.0	198.0	25.0
ERLIN2	619400.0	326.0	9.0
ERMAP	811934.0	327.0	28.0
ERMN	78933.0	837.0	8.0
ERMP1	314189.0	313.0	25.0
ERN1	1464674.0	379.0	16.0
ERN2	517081.0	598.0	33.0
ERO1L	314095.0	313.0	11.0
ERO1LB	498153.0	632.0	9.0
ERP27	341752.0	426.0	8.0
ERP29	812811.0	317.0	45.0
ERP44	246986.0	681.0	19.0
ERRFI1	387339.0	207.0	26.0
ERV3-1	216422.0	994.0	-9.0
ERVFRD-1			
ESAM	168652.0	622.0	14.0
ESCO1	333266.0	221.0	35.0
ESCO2	406636.0	229.0	23.0
ESD	272205.0	820.0	63.0
ESF1	123437.0	617.0	-10.0
ESM1	205256.0	603.0	13.0
ESPL1	1677275.0	191.0	49.0
ESPN	644193.0	198.0	33.0
ESPNL	428658.0	356.0	29.0
ESR1	221347.0	568.0	0.0
ESR2	528074.0	387.0	46.0
ESRP1	467699.0	426.0	31.0
ESRP2	910198.0	281.0	30.0
ESRRA	1613996.0	257.0	65.0
ESRRB	243524.0	616.0	39.0
ESRRG	15599.0	1132.0	-28.0
ESX1	354255.0		47.0
ESYT1	2878044.0	171.0	40.0
ESYT2	286663.0	344.0	1.0
ESYT3	201756.0	408.0	19.0
ETAA1	36002.0	401.0	-3.0
ETF1	1202314.0	205.0	51.0
ETFA	307633.0	186.0	35.0
ETFB	368509.0	610.0	-9.0
ETFDH	171388.0	429.0	1.0
ETHE1	416043.0	209.0	-10.0
ETNK1	206703.0	644.0	2.0
ETNK2	557652.0	370.0	34.0
ETS1	215125.0	644.0	28.0
ETS2	382323.0	151.0	5.0
ETV1	46434.0	989.0	-16.0
ETV2	1162794.0	390.0	27.0
ETV3	895723.0	423.0	31.0
ETV3L	934232.0	423.0	32.0
ETV4	1093430.0	148.0	21.0
ETV5	780547.0	397.0	36.0
ETV6	233493.0	629.0	31.0
ETV7	942911.0	192.0	46.0
EVC	101111.0	641.0	18.0
EVC2	69455.0	688.0	19.0
EVI2A			
EVI2B			
EVI5	488549.0	506.0	4.0
EVI5L	836245.0	270.0	24.0
EVL	453415.0	234.0	27.0
EVPL	1611239.0	218.0	22.0
EVX1	473864.0	394.0	13.0
EVX2	242935.0	874.0	15.0
EWSR1	854820.0	251.0	51.0
EXD1	933164.0	175.0	39.0
EXD2	821714.0	373.0	39.0
EXD3	1632320.0	208.0	30.0
EXO1	173100.0	325.0	-16.0
EXOC1	579538.0	452.0	12.0
EXOC2	157724.0	679.0	36.0
EXOC3	787542.0	399.0	37.0
EXOC3L1	1109491.0	150.0	46.0
EXOC3L2	1356264.0	243.0	38.0
EXOC4	618702.0	965.0	12.0
EXOC5	176601.0	944.0	13.0
EXOC6	557904.0	421.0	36.0
EXOC6B	148260.0	625.0	-1.0
EXOC7	1611239.0	218.0	22.0
EXOC8	377235.0	569.0	2.0
EXOG	373229.0	578.0	28.0
EXOSC1	724294.0	188.0	40.0
EXOSC10	577167.0	408.0	34.0
EXOSC2	505506.0	211.0	24.0
EXOSC3	489340.0	453.0	23.0
EXOSC4	2720766.0	211.0	27.0
EXOSC5	1148529.0	249.0	36.0
EXOSC6	1353954.0	139.0	37.0
EXOSC7	479578.0	326.0	41.0
EXOSC8	176745.0	650.0	16.0
EXOSC9	324357.0	506.0	29.0
EXPH5	369515.0	500.0	13.0
EXT1	190467.0	586.0	18.0
EXT2	291324.0	616.0	7.0
EXTL1	748547.0	221.0	31.0
EXTL2	193606.0	859.0	-3.0
EXTL3	403198.0	327.0	42.0
EYA1	50979.0	967.0	-3.0
EYA2	306082.0	522.0	36.0
EYA3	827177.0	316.0	28.0
EYA4	97438.0	409.0	-8.0
EYS	28896.0	1167.0	-23.0
EZH1	1740597.0	177.0	36.0
EZH2	564321.0	434.0	13.0
EZR	564251.0	163.0	55.0
F10	774267.0	229.0	26.0
F11	364737.0	606.0	-12.0
F11R	777836.0	441.0	19.0
F12	1038665.0	261.0	59.0
F13A1	44522.0	696.0	22.0
F13B	220645.0	802.0	-30.0
F2	965022.0	176.0	48.0
F2R	257923.0	372.0	46.0
F2RL1	248362.0	418.0	25.0
F2RL2			
F2RL3	901964.0	305.0	31.0
F3	411634.0	258.0	-7.0
F5	294416.0	415.0	11.0
F7	789162.0	285.0	14.0
F8	1741051.0		4.0
F8A1			
F8A2			
F8A3			
F9	69360.0		0.0
FA2H	612822.0	173.0	27.0
FAAH	597667.0	255.0	28.0
FAAH2	91305.0		-6.0
FABP1	180956.0	612.0	6.0
FABP12	186546.0	595.0	0.0
FABP2	218603.0	824.0	-1.0
FABP3	708176.0	262.0	29.0
FABP4	191177.0	595.0	1.0
FABP5	231632.0	463.0	42.0
FABP6	198270.0	448.0	38.0
FABP7	138284.0	1073.0	-1.0
FABP9	191177.0	595.0	1.0
FADD	765202.0	286.0	34.0
FADS1	1239228.0	212.0	59.0
FADS2	1618824.0	212.0	64.0
FADS3	1998419.0	212.0	69.0
FADS6	1027517.0	320.0	20.0
FAF1	237738.0	691.0	-5.0
FAF2	592072.0	239.0	47.0
FAH	201157.0	561.0	32.0
FAHD1	1604603.0	288.0	36.0
FAHD2A	255441.0	536.0	19.0
FAHD2B	515149.0	535.0	38.0
FAIM	198181.0	515.0	26.0
FAIM2	1291800.0	231.0	45.0
FAIM3	467839.0	385.0	39.0
UBALD1	742112.0	160.0	46.0
UBALD2	1678166.0	209.0	19.0
FAM101A	1197100.0	504.0	34.0
FAM101B	248876.0	591.0	1.0
FAM102A	1604109.0	201.0	61.0
FAM102B	615760.0	313.0	-3.0
FAM103A1	452169.0	683.0	19.0
FAM104A	205112.0	251.0	-15.0
FAM104B	214019.0		18.0
FAM105A	514082.0	380.0	28.0
FAM105B	511502.0	422.0	16.0
FAM107A	534993.0	383.0	31.0
FAM107B	256093.0	327.0	36.0
ABHD17A	2226995.0	214.0	26.0
ABHD17B	284075.0	358.0	4.0
ABHD17C	334777.0	313.0	7.0
FAM109A	473383.0	479.0	42.0
FAM109B	1321127.0	363.0	65.0
FAM110A	824412.0	579.0	36.0
FAM110B	190462.0	601.0	15.0
FAM110C	123809.0	705.0	
FAM111A	542222.0	686.0	9.0
FAM111B	437114.0	741.0	-6.0
PCED1A	766497.0	396.0	44.0
PCED1B	261073.0	398.0	0.0
FAM114A1	370538.0	352.0	63.0
FAM114A2	171379.0	592.0	5.0
FAM115A	453936.0	618.0	-5.0
FAM115C	433430.0	463.0	-7.0
DENND6A	718677.0	332.0	30.0
DENND6B	939384.0	257.0	70.0
FAM117A	993241.0	361.0	26.0
FAM117B	549913.0	515.0	26.0
FAM118A	461688.0	277.0	26.0
FAM118B	493677.0	341.0	28.0
METTL21A	183578.0	198.0	24.0
METTL21B	1160849.0	344.0	39.0
FAM120A	421454.0	547.0	35.0
FAM120AOS	422600.0	547.0	26.0
FAM120B	366503.0	600.0	-4.0
FAM120C	610328.0		28.0
FAM122A			
FAM122B	293030.0		27.0
FAM122C	293030.0		27.0
AMER2	331169.0	650.0	34.0
AMER1	57924.0		2.0
AMER3	607528.0	203.0	17.0
FAM124A	175682.0	518.0	37.0
FAM124B	310772.0	460.0	12.0
MVB12A	899127.0	211.0	26.0
MVB12B	112775.0	646.0	33.0
FAM126A	1063802.0	413.0	26.0
FAM126B	646602.0	167.0	33.0
FAM127A	304745.0		42.0
FAM127B	304745.0		42.0
FAM127C	304745.0		42.0
FAM128A	455705.0	540.0	29.0
FAM128B	349797.0	593.0	22.0
FAM129A	349492.0	479.0	3.0
FAM129B	857814.0	182.0	46.0
FAM129C	961640.0	206.0	42.0
FAM131A	1447013.0	268.0	44.0
FAM131B	379715.0	379.0	29.0
FAM131C	876105.0	197.0	40.0
FAM132A	2356409.0	196.0	27.0
FAM133A	33770.0		-11.0
FAM133B	744909.0	334.0	24.0
FAM134A	773232.0	177.0	36.0
FAM134B	203311.0	553.0	-11.0
FAM134C	1884163.0	177.0	38.0
FAM135A	114193.0	606.0	11.0
FAM135B	6187.0	989.0	-37.0
FAM136A	671278.0	370.0	38.0
FAM13A	160978.0	576.0	8.0
FAM13B	992763.0	396.0	39.0
FAM13C	121813.0	707.0	-15.0
FAM149A	373525.0	536.0	-13.0
FAM150A	105913.0	682.0	-11.0
FAM150B	304765.0	624.0	-18.0
FAM151A	723136.0	415.0	20.0
FAM151B	320158.0	516.0	35.0
FAM153A	1267336.0	553.0	18.0
FAM153B	592877.0	609.0	19.0
FAM153C	961008.0	363.0	32.0
FAM154A	500270.0	450.0	-18.0
FAM154B	382946.0	701.0	18.0
FAM155A	73040.0	1144.0	-37.0
FAM155B	74378.0		23.0
EMC9	974559.0	220.0	41.0
FAM159A	663153.0	261.0	19.0
FAM160A2	466636.0	728.0	4.0
FAM160B1	208967.0	183.0	16.0
FAM160B2	584373.0	219.0	34.0
FAM161A	758678.0	249.0	34.0
FAM161B	443041.0	158.0	51.0
FAM162A	416095.0	478.0	34.0
FAM162B	244987.0	581.0	14.0
FAM163A	458564.0	479.0	-8.0
ZC2HC1A	49383.0	969.0	2.0
ZC2HC1C	919043.0	222.0	47.0
SMIM11	410767.0	518.0	61.0
FAM166A	1724821.0	399.0	43.0
FAM166B	1108352.0	300.0	27.0
FAM167A	483148.0	520.0	43.0
FAM167B	1427362.0	210.0	43.0
FAM168A	521861.0	311.0	48.0
FAM168B	461529.0	331.0	16.0
FAM169A	424900.0	581.0	31.0
FAM169B	149919.0	473.0	-53.0
FAM170A	296413.0	644.0	-2.0
FAM171A1	211657.0	716.0	8.0
FAM171B	264318.0	538.0	-9.0
FAM172A	264052.0	622.0	6.0
FAM173A	1207790.0	194.0	33.0
FAM173B	623675.0	325.0	5.0
FAM174A	23650.0	1030.0	13.0
FAM174B	281213.0	478.0	-17.0
FAM175A	275241.0	378.0	29.0
FAM175B	290823.0	200.0	36.0
EVA1A	224734.0	608.0	8.0
EVA1B	685495.0	212.0	32.0
FAM177A1	640994.0	321.0	45.0
FAM177B	221712.0	236.0	-4.0
FAM178A	1007780.0	247.0	35.0
FAM178B	677234.0	392.0	46.0
FAM179A	471053.0	404.0	28.0
FAM179B	231363.0	490.0	1.0
FAM180A	470926.0	386.0	-1.0
FAM180B			
FAM181A	242993.0	645.0	15.0
FAM181B	303563.0	599.0	-7.0
FAM183A	1068006.0	294.0	30.0
FAM184A	115280.0	856.0	-1.0
FAM186B	2227486.0	224.0	53.0
FAM187B	767246.0	472.0	7.0
FAM188A	70308.0	903.0	-2.0
FAM188B	410182.0	538.0	21.0
FAM189A1			
FAM189A2	216587.0	539.0	0.0
FAM189B	1574928.0	194.0	45.0
TVP23A	258562.0	356.0	36.0
TVP23B	832902.0	284.0	-7.0
TVP23C	457998.0	452.0	-34.0
CCSER1	104011.0	1180.0	-4.0
CCSER2	215927.0	942.0	1.0
FAM192A	731638.0	149.0	48.0
FAM193A	637151.0	209.0	46.0
FAM193B	1120311.0	347.0	41.0
FAM194A	359484.0	397.0	30.0
FAM195A	1115707.0	213.0	39.0
FAM196A	92819.0	848.0	-36.0
FAM198B	123627.0	849.0	-14.0
FAM199X	354255.0		47.0
FAM19A1	121492.0	954.0	-14.0
FAM19A2	136152.0	930.0	-44.0
FAM19A3	559669.0	325.0	27.0
FAM19A4	263741.0	842.0	-15.0
FAM19A5	11714.0	952.0	-88.0
FAM200A	1460222.0	332.0	56.0
FAM20A	662487.0	313.0	-28.0
FAM20B	352872.0	244.0	1.0
FAM20C	195067.0	593.0	-4.0
FAM21A			
FAM21B	109302.0	804.0	30.0
FAM21C	105248.0	558.0	33.0
NUTM2A	409986.0	144.0	20.0
NUTM2D	490965.0	332.0	22.0
FAM22F	219475.0	445.0	31.0
FAM22G	309543.0	582.0	27.0
TMEM236	278936.0	286.0	5.0
FAM24A	290558.0	619.0	14.0
FAM24B	290558.0	619.0	14.0
FAM25B			
FAM25A			
FAM25G	102837.0	642.0	23.0
FAM26D	261450.0	479.0	19.0
FAM26E	261450.0	479.0	19.0
FAM26F	261319.0	541.0	34.0
FAM32A	787753.0	219.0	34.0
FAM35A	403850.0	144.0	27.0
COX20	694721.0	405.0	3.0
PIEZO2	90278.0	610.0	30.0
FAM3A	2163759.0		42.0
FAM3B	224593.0	506.0	24.0
FAM3C	100604.0	535.0	-1.0
FAM3D	497368.0	503.0	38.0
STRIP1	660515.0	373.0	29.0
STRIP2	625985.0	286.0	38.0
FAM43A	406498.0	421.0	39.0
FAM43B	573203.0	429.0	30.0
FAM45A	721947.0	194.0	19.0
FAM46A	121389.0	396.0	-18.0
FAM46B	929681.0	336.0	34.0
FAM46C	344088.0	557.0	16.0
FAM46D	102816.0		-24.0
FAM47A	7968.0		-15.0
FAM47B	6541.0		-14.0
FAM47C	71087.0		-10.0
SUPT20H	166443.0	631.0	23.0
FAM48B1	644763.0		34.0
FAM48B2	644763.0		34.0
FAM49A	8240.0	1427.0	-4.0
FAM49B	272194.0	242.0	6.0
FAM50A	2277674.0		40.0
FAM50B	271690.0	208.0	30.0
FAM53A	902379.0	350.0	33.0
FAM53B	300236.0	352.0	32.0
FAM53C	1312427.0	273.0	36.0
MTFR2	283639.0	240.0	15.0
MTFR1L	746382.0	372.0	24.0
NXPE1	103922.0	612.0	-15.0
NXPE3	549022.0	421.0	12.0
NXPE4	109030.0	716.0	-17.0
FAM57A	662733.0	483.0	10.0
FAM57B			
FAM58A	940418.0		24.0
FAM58B	137061.0	607.0	1.0
GAREM	268182.0	781.0	-5.0
BRINP2	5755.0	900.0	-14.0
BRINP3	6711.0	1261.0	-26.0
FAM60A	317612.0	468.0	6.0
FAM63A	1621279.0	172.0	30.0
FAM63B	524797.0	311.0	28.0
FAM64A	249769.0	359.0	6.0
FAM65A	1082466.0	153.0	49.0
FAM65B	430274.0	256.0	26.0
FAM65C	568493.0	153.0	55.0
FAM69A	609398.0	372.0	13.0
FAM69B	1898901.0	190.0	39.0
FAM69C	162468.0	969.0	7.0
TMEM255A	526128.0		22.0
TMEM255B	782003.0	465.0	45.0
FAM71A	409070.0	224.0	26.0
FAM71B	166999.0	1198.0	18.0
FAM71C	100701.0	906.0	0.0
FAM71D	479620.0	324.0	19.0
FAM71E1	1038277.0	491.0	30.0
FAM71F1	875359.0	304.0	30.0
FAM71F2	875359.0	304.0	30.0
FAM72A	783744.0	442.0	11.0
FAM72B	398623.0		14.0
FAM73A	368215.0	207.0	1.0
FAM73B	1473097.0	203.0	29.0
SPATA31A1			
FAM75A2	18945.0		-38.0
SPATA31A3	17308.0	1040.0	-46.0
FAM76A	735205.0	210.0	35.0
FAM76B	298879.0	467.0	2.0
FAM78A	745091.0	213.0	50.0
FAM78B	320493.0	733.0	-12.0
FAM81A	613635.0	188.0	39.0
FAM81B	316501.0	511.0	4.0
RMDN2	664248.0	420.0	27.0
RMDN3	1011507.0	172.0	46.0
RMDN1	192988.0	1166.0	15.0
FAM83A	519858.0	171.0	22.0
FAM83B	25624.0	495.0	-15.0
FAM83C	1290513.0	170.0	45.0
FAM83D	263385.0	581.0	30.0
FAM83E	1597109.0	242.0	31.0
FAM83F	712106.0	370.0	28.0
FAM83G			
FAM83H	2182434.0	229.0	28.0
FAM84A	58286.0	1274.0	-10.0
FAM84B	203378.0	592.0	-8.0
FAM86A	552298.0	419.0	3.0
FAM86B1	475976.0	625.0	-1.0
FAM86C1	726153.0	465.0	35.0
FAM89A	376655.0	616.0	12.0
FAM89B	3945819.0	202.0	45.0
FAM8A1	470794.0	339.0	13.0
FAM90A1	172474.0	438.0	26.0
FAM91A1	483934.0	269.0	10.0
FAM92A1	221692.0	552.0	-4.0
FAM92B	553233.0	273.0	36.0
FAM96A	740524.0	234.0	48.0
FAM96B	942986.0	142.0	34.0
FAM98A	116876.0	865.0	5.0
FAM98B	97405.0	643.0	-15.0
FAM98C	1467279.0	253.0	0.0
FAM9A	13530.0		-19.0
FAM9B	47340.0		-11.0
FAM9C	209806.0		58.0
FANCA	1234390.0	219.0	41.0
FANCB	111662.0		21.0
FANCC	165520.0	457.0	38.0
FANCD2	885389.0	170.0	41.0
FANCE	683460.0	280.0	36.0
FANCF	52076.0	970.0	-4.0
FANCG	782447.0	350.0	42.0
FANCI	642890.0	400.0	25.0
FANCL	197920.0	617.0	9.0
FANCM	234454.0	565.0	8.0
FANK1	207005.0	738.0	-8.0
FAP	70846.0	615.0	5.0
FAR1	171781.0	639.0	-7.0
FAR2	104924.0	674.0	-4.0
FARP1	494775.0	574.0	35.0
FARP2	1221130.0	383.0	31.0
FARS2	127934.0	845.0	28.0
FARSA	1886809.0	335.0	40.0
FARSB	267637.0	308.0	18.0
FAS	187494.0	375.0	39.0
FASLG	116331.0	506.0	7.0
FASN	3850694.0	197.0	34.0
FASTK	622098.0	373.0	41.0
FASTKD1	358154.0	404.0	30.0
FASTKD2	206970.0	816.0	1.0
FASTKD3	65781.0	1013.0	-18.0
FASTKD5			
FAT1	351973.0	513.0	-13.0
FAT2	731456.0	563.0	27.0
FAT3	32222.0	1011.0	-33.0
FAT4	15815.0	726.0	-10.0
FATE1	125659.0		4.0
FAU	3267059.0	207.0	46.0
FBF1	1667990.0	194.0	22.0
FBL	1289328.0	526.0	23.0
FBLIM1	752403.0	174.0	29.0
FBLN1	448796.0	195.0	3.0
FBLN2	375523.0	199.0	36.0
FBLN5	333910.0	440.0	29.0
FBLN7			
FBN1	399245.0	304.0	-1.0
FBN2	226750.0	605.0	9.0
FBN3	914975.0	258.0	15.0
FBP1	260812.0	350.0	38.0
FBP2	261413.0	427.0	41.0
FBRS	2255010.0	158.0	60.0
FBXL12	1069900.0	579.0	-26.0
FBXL13	720636.0	510.0	30.0
FBXL14	333350.0	216.0	28.0
FBXL15	975992.0	178.0	39.0
FBXL16	1207790.0	194.0	33.0
FBXL17	73947.0	913.0	4.0
FBXL18	1906749.0	195.0	34.0
FBXL19	1508459.0	247.0	46.0
FBXL2	496632.0	352.0	15.0
FBXL20	1467668.0	179.0	20.0
FBXL21	489402.0	443.0	19.0
FBXL22	754243.0	197.0	47.0
FBXL3	218827.0	551.0	34.0
FBXL4	237914.0	891.0	-6.0
FBXL5	190822.0	327.0	37.0
FBXL6	2525749.0	200.0	28.0
FBXL7	13845.0	956.0	-27.0
FBXL8	1093307.0	150.0	47.0
FBXO10	511883.0	338.0	34.0
FBXO11	486669.0	587.0	27.0
FBXO15	149669.0	952.0	-6.0
FBXO16	295355.0	204.0	47.0
FBXO17	1794625.0	282.0	21.0
FBXO18	649866.0	305.0	28.0
FBXO2	682357.0	264.0	32.0
FBXO21	206608.0	213.0	20.0
FBXO22	550701.0	339.0	47.0
FBXO24	1651125.0	242.0	60.0
FBXO25	173778.0	838.0	-19.0
FBXO27	1653595.0	282.0	32.0
FBXO28	638932.0	174.0	13.0
FBXO3	755929.0	424.0	15.0
FBXO30	77282.0	736.0	0.0
FBXO31	576709.0	311.0	18.0
FBXO32	535498.0	203.0	19.0
FBXO33	314889.0	405.0	13.0
FBXO34	744260.0	256.0	38.0
FBXO36	352105.0	601.0	28.0
FBXO38	82911.0	459.0	1.0
FBXO39	936146.0	438.0	5.0
FBXO4	113456.0	795.0	23.0
FBXO40	289905.0	613.0	25.0
FBXO41	536944.0	452.0	20.0
FBXO42	788646.0	186.0	42.0
FBXO43	810757.0	396.0	25.0
FBXO44	682357.0	264.0	32.0
FBXO45	1149194.0	156.0	30.0
FBXO46	929036.0	203.0	43.0
FBXO47	1256859.0	143.0	31.0
FBXO48	212087.0	617.0	30.0
FBXO5	164387.0	538.0	-5.0
FBXO6	682357.0	264.0	32.0
FBXO7	371339.0	401.0	3.0
FBXO8	64734.0	647.0	-5.0
FBXO9	450160.0	386.0	26.0
FBXW10	752804.0	391.0	-6.0
FBXW11	380827.0	400.0	36.0
FBXW12	1401411.0	263.0	32.0
FBXW2	645088.0	212.0	21.0
FBXW4	764146.0	385.0	29.0
FBXW5	1979517.0	188.0	34.0
FBXW7	117295.0	501.0	51.0
FBXW8	208959.0	359.0	16.0
FBXW9	1967616.0	218.0	15.0
FCAMR	467960.0	385.0	26.0
FCAR	914047.0	573.0	-19.0
FCER1A	285980.0	737.0	-6.0
FCER1G	728669.0	234.0	37.0
FCER2	688482.0	384.0	31.0
FCF1	886320.0	184.0	43.0
FCGBP	1312608.0	522.0	29.0
FCGR1A			
FCGR1B	285005.0		8.0
FCGR2A	741254.0	448.0	41.0
FCGR2B	598281.0	504.0	20.0
FCGR2C	693228.0	503.0	23.0
FCGR3A	693228.0	503.0	23.0
FCGR3B	645754.0	503.0	22.0
FCGRT	2080142.0	210.0	41.0
FCHO1	1181745.0	246.0	21.0
FCHO2	449417.0	440.0	18.0
FCHSD1	771583.0	353.0	25.0
FCHSD2	475608.0	318.0	46.0
FCN1	237562.0	489.0	35.0
FCN2	229567.0	450.0	26.0
FCN3	866116.0	188.0	28.0
FCRL1	113186.0	829.0	26.0
FCRL2	113186.0	829.0	26.0
FCRL3	180228.0	829.0	21.0
FCRL4	232460.0	820.0	28.0
FCRL5	234921.0	764.0	25.0
FCRL6	801453.0	497.0	6.0
FCRLA	598281.0	504.0	20.0
FCRLB	598281.0	504.0	20.0
FDFT1	470737.0	360.0	34.0
FDPS	1574928.0	194.0	45.0
FDX1	137098.0	403.0	6.0
FDX1L	1802015.0	191.0	21.0
FDXACB1	437513.0	221.0	22.0
FDXR	1027517.0	320.0	20.0
FECH	304947.0	352.0	38.0
FEM1A	798897.0	203.0	23.0
FEM1B	376557.0	437.0	37.0
FEM1C	352735.0	498.0	23.0
FEN1	1239228.0	212.0	59.0
FER	140251.0	741.0	20.0
FER1L5	906473.0	234.0	41.0
FER1L6	453048.0	561.0	15.0
FERD3L	103347.0	812.0	-15.0
FERMT1	302334.0	351.0	-16.0
FERMT2	309280.0	188.0	12.0
FERMT3	1602391.0	278.0	57.0
FES	833957.0	291.0	42.0
FETUB	508316.0	436.0	45.0
FEV	922162.0	386.0	35.0
FEZ1	363322.0	629.0	21.0
FEZ2	451487.0	318.0	-3.0
FEZF1	61242.0	1007.0	-15.0
FEZF2	213716.0	935.0	-3.0
FFAR1	767113.0	472.0	9.0
FFAR2	827597.0	367.0	29.0
FFAR3	767113.0	472.0	9.0
FGA	59962.0	1036.0	-4.0
FGB	59883.0	1034.0	20.0
FGD1	299313.0		18.0
FGD2	832054.0	220.0	41.0
FGD3	478130.0	463.0	43.0
FGD4	357808.0	378.0	-9.0
FGD5	489640.0	490.0	39.0
FGD6	370367.0	544.0	32.0
FGF1	293119.0	481.0	28.0
FGF10	107231.0	886.0	-39.0
FGF11	1906324.0	206.0	33.0
FGF12	34070.0	937.0	0.0
FGF13	14292.0		-5.0
FGF14	82526.0	937.0	-2.0
FGF16	547612.0		-7.0
FGF17	584373.0	219.0	34.0
FGF18	300840.0	347.0	30.0
FGF19	465152.0	561.0	38.0
FGF2	139927.0	184.0	18.0
FGF20	176882.0	719.0	-38.0
FGF21	1635420.0	190.0	44.0
FGF22	1832767.0	218.0	10.0
FGF23	295315.0	860.0	33.0
FGF3	783792.0	561.0	37.0
FGF4	465152.0	561.0	38.0
FGF5	61128.0	903.0	-3.0
FGF6	291341.0	908.0	23.0
FGF7	273513.0	370.0	-7.0
FGF8	817474.0	335.0	37.0
FGF9	298481.0	648.0	37.0
FGFBP1	175145.0	435.0	33.0
FGFBP2	175145.0	435.0	33.0
FGFBP3	355265.0	331.0	24.0
FGFR1	841062.0	381.0	47.0
FGFR1OP	169081.0	639.0	35.0
FGFR1OP2	408842.0	320.0	24.0
FGFR2	204200.0	386.0	-9.0
FGFR3	859388.0	222.0	42.0
FGFR4	1070874.0	201.0	46.0
FGFRL1	689217.0	247.0	58.0
FGG	59962.0	1036.0	-4.0
FGGY	60575.0	728.0	4.0
FGL1	399891.0	253.0	-16.0
FGL2	312362.0	639.0	30.0
FGR	732210.0	217.0	24.0
FH	171676.0	533.0	-20.0
FHDC1	227983.0	342.0	25.0
FHIT	36866.0	1126.0	5.0
FHL1	248739.0		23.0
FHL2	198241.0	215.0	13.0
FHL3	445132.0	232.0	42.0
FHL5	116593.0	1376.0	3.0
FHOD1	1109491.0	150.0	46.0
FHOD3	336896.0	728.0	61.0
FIBCD1	764789.0	241.0	29.0
FIBIN	176115.0	648.0	-17.0
FIBP	3779084.0	287.0	42.0
FICD	437636.0	399.0	40.0
FIG4	335902.0	637.0	29.0
FIGF	200632.0		40.0
FIGLA	596622.0	629.0	24.0
FIGN	20376.0	586.0	-11.0
FIGNL1	177267.0	585.0	25.0
FIGNL2	570716.0	438.0	22.0
FILIP1	441614.0	325.0	19.0
FILIP1L	267848.0	573.0	10.0
FIP1L1	120581.0	470.0	32.0
FIS1	1022626.0	258.0	39.0
FITM1	974559.0	220.0	41.0
FITM2	813168.0	376.0	10.0
FIZ1	1077402.0	254.0	-10.0
FJX1	629751.0	396.0	-15.0
FKBP10	1760409.0	175.0	35.0
FKBP11	1737773.0	214.0	55.0
FKBP14	661477.0	560.0	23.0
FKBP15	448462.0	456.0	9.0
FKBP1A	394062.0	427.0	40.0
FKBP1B	243145.0	226.0	33.0
FKBP2	1613996.0	257.0	65.0
FKBP3	234268.0	565.0	11.0
FKBP4	495532.0	443.0	28.0
FKBP5	668286.0	238.0	27.0
FKBP6	902769.0	422.0	52.0
FKBP7	170323.0	555.0	37.0
FKBP8	1394856.0	259.0	48.0
FKBP9	375055.0	235.0	13.0
FKBPL	2170336.0	224.0	32.0
FKRP	1166804.0	224.0	36.0
FKSG83	161388.0	645.0	24.0
