gene	expr	reptime	hic
ACRBP	2816983.0	210.0	61.0
ACRC	848605.0		39.0
ACRV1	564542.0	595.0	13.0
ACSBG1	421357.0	314.0	52.0
ACSBG2	1332100.0	417.0	40.0
ACSF2	1332860.0	200.0	23.0
ACSF3	1277584.0	239.0	40.0
ACSL1	311713.0	515.0	30.0
ACSL3	261505.0	361.0	14.0
ACSL4	209488.0		44.0
ACSL5	184750.0	409.0	-4.0
ACSL6	331471.0	484.0	25.0
ACSM1	175989.0	641.0	11.0
ACSM2A	181483.0	823.0	6.0
ACSM2B	166410.0	726.0	-6.0
ACSM3	211686.0	580.0	23.0
ACSM4	1157790.0	439.0	27.0
ACSM5	181483.0	823.0	6.0
ACSS1	572146.0	563.0	-18.0
ACSS2	1004645.0	205.0	44.0
ACSS3	26211.0	1037.0	-20.0
ACTA1	243405.0	361.0	29.0
ACTA2	181406.0	267.0	30.0
ACTB	1906749.0	195.0	34.0
ACTBL2	160055.0	456.0	3.0
ACTC1	521214.0	306.0	-1.0
ACTG1	3582152.0	268.0	26.0
ACTG2	1036341.0	284.0	45.0
ACTL6A	399933.0	477.0	11.0
ACTL6B	1884430.0	247.0	60.0
ACTL7A	336944.0	471.0	9.0
ACTL7B	336944.0	471.0	9.0
ACTL8	249962.0	416.0	27.0
ACTL9	536422.0	487.0	-47.0
ACTN1	609757.0	344.0	44.0
ACTN2	427180.0	682.0	-10.0
ACTN3	1343990.0	194.0	62.0
ACTN4	1596646.0	322.0	36.0
ACTR10	291132.0	545.0	21.0
ACTR1A	871726.0	178.0	41.0
ACTR1B	362146.0	520.0	25.0
ACTR2	606183.0	343.0	31.0
ACTR3	402980.0	629.0	15.0
ACTR3B	190917.0	535.0	5.0
ACTR5	358558.0	551.0	35.0
ACTR6	184664.0	650.0	9.0
ACTR8	128709.0	552.0	39.0
ACTRT1	938.0		-35.0
ACTRT2	308009.0	634.0	19.0
ACVR1	81110.0	935.0	2.0
ACVR1B	493265.0	371.0	27.0
ACVR1C	79510.0	911.0	7.0
ACVR2A	90992.0	951.0	-2.0
ACVR2B	337567.0	514.0	28.0
ACVRL1	493265.0	371.0	27.0
ACY1	1045639.0	224.0	36.0
ACY3	1408104.0	424.0	60.0
ACYP1	919043.0	222.0	47.0
ACYP2	619188.0	448.0	11.0
ADA	801801.0	171.0	42.0
ADAD1	227942.0	612.0	-14.0
ADAD2	582429.0	364.0	12.0
ADAL	823006.0	415.0	50.0
ADAM10	506165.0	386.0	31.0
ADAM11	1224408.0	175.0	31.0
ADAM12	214443.0	485.0	-29.0
ADAM15	1696720.0	214.0	44.0
ADAM17	691902.0	278.0	38.0
ADAM18	175645.0	764.0	4.0
ADAM19	261911.0	1079.0	45.0
ADAM2	12694.0	576.0	-2.0
ADAM20	333836.0	706.0	26.0
ADAM21	423685.0	706.0	22.0
ADAM22	178742.0	722.0	17.0
ADAM23	290387.0	726.0	16.0
ADAM28	55817.0	565.0	5.0
ADAM29	49942.0	889.0	-36.0
ADAM30	390094.0	560.0	9.0
ADAM32	347510.0	612.0	-5.0
ADAM33	942842.0	353.0	32.0
ADAM7	56052.0	741.0	6.0
ADAM8	339279.0	452.0	-12.0
ADAM9	389317.0	428.0	22.0
ADAMDEC1	57540.0	741.0	5.0
ADAMTS1	33367.0	441.0	-72.0
ADAMTS10	622624.0	214.0	-14.0
ADAMTS12	373086.0	875.0	7.0
ADAMTS13	1843278.0	263.0	33.0
ADAMTS14	546305.0	566.0	37.0
ADAMTS15	686411.0	396.0	0.0
ADAMTS16	89385.0	683.0	-23.0
ADAMTS17	143599.0	755.0	-36.0
ADAMTS18	61971.0	1102.0	-26.0
ADAMTS19	38096.0	1075.0	-16.0
ADAMTS2	1496298.0	677.0	-4.0
ADAMTS20	126632.0	906.0	-21.0
ADAMTS3	70065.0	633.0	-15.0
ADAMTS4	728669.0	234.0	37.0
ADAMTS5	33106.0	441.0	-79.0
ADAMTS6	275284.0	480.0	5.0
ADAMTS7	507164.0	413.0	46.0
ADAMTS8	693280.0	382.0	-6.0
ADAMTS9	90552.0	783.0	-10.0
ADAMTSL1	313133.0	527.0	-18.0
ADAMTSL2	1869593.0	315.0	35.0
ADAMTSL3	112410.0	888.0	-7.0
ADAMTSL4	1475649.0	152.0	31.0
ADAMTSL5	2122824.0	221.0	35.0
ADAP1	737267.0	310.0	41.0
ADAP2	594135.0	209.0	20.0
ADAR	1927515.0	403.0	36.0
ADARB1	596496.0	250.0	42.0
ADARB2	284080.0	633.0	8.0
ADAT1	449343.0	354.0	18.0
ADAT2	299410.0	495.0	7.0
ADAT3			
ADC	756118.0	264.0	21.0
ADCK1	427928.0	517.0	24.0
ADCK2	354697.0	567.0	38.0
ADCK4	1022809.0	201.0	31.0
ADCK5	2284602.0	200.0	32.0
ADCY1	287931.0	686.0	11.0
ADCY10	534611.0	238.0	13.0
ADCY2	60911.0	1014.0	-22.0
ADCY3	284877.0	296.0	37.0
ADCY4	906124.0	173.0	39.0
ADCY5	372027.0	458.0	42.0
ADCY6	1715886.0	328.0	38.0
ADCY7	304156.0	520.0	21.0
ADCY8	45406.0	771.0	-7.0
ADCY9	740126.0	140.0	19.0
ADCYAP1	272034.0	531.0	-13.0
ADCYAP1R1	364216.0	631.0	7.0
ADD1	669373.0	264.0	45.0
ADD2	659649.0	592.0	24.0
ADD3	349258.0	424.0	3.0
ADH1A	250334.0	786.0	3.0
ADH1B	332785.0	854.0	8.0
ADH1C	332785.0	854.0	8.0
ADH4	166160.0	760.0	1.0
ADH5	192327.0	549.0	11.0
ADH6	167884.0	786.0	-3.0
ADH7	332944.0	854.0	12.0
ADHFE1	259302.0	268.0	12.0
ADI1	254699.0	390.0	16.0
ADIG	525955.0	539.0	39.0
ADIPOQ	449980.0	384.0	25.0
ADIPOR1	421206.0	389.0	30.0
ADIPOR2	259057.0	403.0	29.0
ADK	622159.0	598.0	40.0
ADM	860704.0	273.0	12.0
ADM2	1075525.0	207.0	42.0
ADNP	386595.0	367.0	36.0
ADNP2	477656.0	572.0	4.0
ADO	176901.0	852.0	32.0
ADORA1	469029.0	453.0	37.0
ADORA2A	611616.0	186.0	54.0
ADORA2B	931951.0	350.0	-33.0
ADORA3	374092.0	330.0	27.0
ADPGK	1106545.0	526.0	43.0
ADPRH	289679.0	595.0	40.0
ADPRHL1	808201.0	223.0	49.0
ADPRHL2	853740.0	282.0	27.0
ADRA1A	259233.0	692.0	3.0
ADRA1B	206270.0	458.0	31.0
ADRA1D	805921.0	428.0	14.0
ADRA2A	285613.0	547.0	-1.0
ADRA2B	792336.0	366.0	41.0
ADRA2C	326572.0	592.0	36.0
ADRB1	272214.0	502.0	25.0
ADRB2	298390.0	408.0	22.0
ADRB3	672861.0	356.0	25.0
ADRBK1	1369264.0	177.0	44.0
ADRBK2	149272.0	580.0	-13.0
ADRM1	990360.0	252.0	9.0
ADSL	445026.0	427.0	47.0
ADSS	710088.0	534.0	2.0
ADSSL1	681504.0	208.0	29.0
AEBP1	1151124.0	282.0	56.0
AEBP2	152349.0	339.0	-21.0
AEN	393645.0	605.0	14.0
AES	1092464.0	195.0	30.0
AFAP1	166375.0	260.0	38.0
AFAP1L1	386336.0	380.0	25.0
AFAP1L2	303560.0	299.0	6.0
AFF1	270752.0	518.0	48.0
AFF2	97330.0		-13.0
AFF3	353071.0	868.0	12.0
AFF4	686574.0	200.0	66.0
AFG3L2	492344.0	214.0	26.0
AFM	331900.0	594.0	3.0
AFMID	605209.0	191.0	26.0
AFP	331900.0	594.0	3.0
AFTPH	532219.0	332.0	21.0
AGA	44980.0	837.0	-8.0
AGAP1	134111.0	614.0	3.0
AGAP11	401785.0	164.0	45.0
AGAP2	1160849.0	344.0	39.0
AGAP3	616572.0	337.0	39.0
AGAP4	136259.0		34.0
AGAP7			
AGAP8			
AGBL1	5624.0	980.0	-56.0
AGBL2	984490.0	155.0	23.0
AGBL4	16483.0	1041.0	-18.0
AGBL5	1257014.0	290.0	34.0
MOK	2119974.0	392.0	28.0
AGFG1	194117.0	353.0	23.0
AGFG2	1651125.0	242.0	60.0
AGGF1	261159.0	333.0	30.0
AGK	227799.0	887.0	16.0
AGL	289704.0	595.0	9.0
AGMAT	656850.0	162.0	31.0
AGPAT1	2119974.0	392.0	28.0
AGPAT2	1918290.0	190.0	56.0
AGPAT3	842264.0	294.0	67.0
AGPAT4	74993.0	874.0	-5.0
AGPAT5	130932.0	475.0	32.0
AGPAT6	365713.0	496.0	30.0
AGPAT9	186399.0	436.0	21.0
HYKK	506023.0	375.0	39.0
AGPS	378489.0	434.0	26.0
AGR2	361606.0	385.0	-7.0
AGR3	360434.0	376.0	-15.0
AGRN	1971475.0	239.0	15.0
AGRP	1082466.0	153.0	49.0
AGT	422372.0	568.0	6.0
AGTPBP1	227838.0	613.0	9.0
AGTR1	271257.0	825.0	-24.0
AGTR2	224760.0		7.0
AGTRAP	606580.0	187.0	36.0
AGXT	1187158.0	297.0	30.0
AGXT2	243997.0	675.0	23.0
ETNPPL	104349.0	499.0	21.0
PHYKPL	672705.0	448.0	46.0
AHCTF1	422581.0	405.0	4.0
AHCY	962066.0	151.0	50.0
AHCYL1	660515.0	373.0	29.0
AHCYL2	776656.0	420.0	44.0
AHDC1	738004.0	217.0	25.0
AHI1	152087.0	422.0	29.0
AHNAK	2746294.0	204.0	49.0
AHNAK2	854493.0	205.0	30.0
AHR	370010.0	410.0	2.0
AHRR	808969.0	399.0	34.0
AHSA1	504548.0	359.0	47.0
AHSA2	704383.0	371.0	36.0
AHSG	508316.0	436.0	45.0
AHSP	826452.0	688.0	-17.0
AICDA	291883.0	422.0	15.0
AIDA	222206.0	392.0	1.0
AIF1	2517285.0	220.0	35.0
AIF1L	829407.0	293.0	36.0
AIFM1	379257.0		58.0
AIFM2	484729.0	425.0	25.0
AIFM3	577297.0	192.0	58.0
AIG1	298429.0	699.0	13.0
AIM1	220264.0	271.0	41.0
AIM1L	1021101.0	217.0	22.0
AIM2	97976.0	866.0	8.0
AIMP1	158895.0	711.0	5.0
AIMP2			
AIP	1392213.0	215.0	53.0
AIPL1	249769.0	359.0	6.0
AIRE	1153513.0	308.0	65.0
AJAP1	5695.0	921.0	4.0
AK1	1278941.0	201.0	51.0
AK2	807536.0	233.0	27.0
AK4	231882.0	608.0	30.0
AK3L1	280010.0	351.0	-9.0
AK5	484699.0	536.0	-8.0
AK7	328475.0	560.0	14.0
AKAP1	413131.0	258.0	-6.0
AKAP10	545359.0	348.0	-11.0
AKAP11	183147.0	411.0	51.0
AKAP12	340429.0	383.0	11.0
AKAP13	230754.0	454.0	17.0
AKAP14	772178.0		38.0
AKAP2			
AKAP3	277828.0	874.0	18.0
AKAP4	56301.0		5.0
